DESTINO,SEXO,INGRESO_$,ENDEUDAMIENTO,PROGRAMA,EDAD_AÑO,MONTO_OTORGADO_$,FINANCIAMIENTO_INMUEBLE,Plazo_MESES
Construcción de vivienda,F,926.00,25.10,Clase social,31,"48,148.00",63%,360
Construcción de vivienda,M,"1,074.00",52.70,Clase social,31,"42,593.00",49%,360
Compra de vivienda,M,"1,019.00",41.24,Clase social,31,"48,148.00",97%,360
Compra de vivienda,F,796.00,47.69,Clase social,31,"48,141.00",100%,276
Compra de vivienda,M,815.00,86.41,Clase media,31,"75,940.00",78%,360
Compra de vivienda,F,"2,426.00",70.82,Clase media,31,"148,148.00",91%,270
Compra de vivienda,F,689.00,47.33,Clase social,31,"40,741.00",47%,360
Construcción de vivienda,M,"1,481.00",33.40,Clase social,32,"48,144.00",100%,360
Construcción de vivienda,F,"1,019.00",42.24,Clase social,32,"48,148.00",100%,360
Compra de vivienda,F,"2,017.00",38.70,Clase social,32,"17,364.00",97%,360
Construcción de vivienda,M,901.00,37.70,Clase social,32,"31,980.00",95%,240
Construcción de vivienda,M,"2,103.00",41.77,Clase media,32,"53,622.00",86%,360
Construcción de vivienda,M,"2,523.00",40.68,Clase media,32,"81,572.00",79%,360
Construcción de vivienda,F,"1,673.00",31.76,Clase media,32,"55,486.00",90%,360
Compra de vivienda,F,"2,683.00",54.84,Clase media,32,"118,519.00",90%,361
Compra de vivienda,M,"2,137.00",32.54,Clase media,32,"50,000.00",90%,360
Compra de vivienda,M,"1,739.00",44.29,Clase media,32,"66,593.00",100%,360
Compra de vivienda,F,775.00,38.19,Clase social,32,"29,907.00",89%,240
Compra de vivienda,M,"1,956.00",46.44,Clase media,32,"59,259.00",84%,360
Construcción de vivienda,M,"1,351.00",55.62,Clase media,32,"68,612.00",90%,360
Construcción de vivienda,M,657.00,45.75,Clase social,32,"48,148.00",100%,360
Construcción de vivienda,M,"1,115.00",45.15,Clase social,32,"48,148.00",100%,360
Construcción de vivienda,F,"1,123.00",23.16,Clase social,32,"48,148.00",100%,360
Construcción de vivienda,M,"1,079.00",33.68,Clase social,32,"48,148.00",100%,360
Construcción de vivienda,F,963.00,36.09,Clase social,32,"48,148.00",100%,361
Construcción de vivienda,F,"2,129.00",31.20,Clase social,32,"26,987.00",81%,240
Construcción de vivienda,M,"1,463.00",41.91,Clase social,32,"32,333.00",97%,360
Construcción de vivienda,M,940.00,54.30,Clase social,32,"32,333.00",97%,360
Construcción de vivienda,M,"1,066.00",43.50,Clase social,32,"32,222.00",97%,360
Construcción de vivienda,M,"1,643.00",44.30,Clase social,32,"33,411.00",97%,360
Construcción de vivienda,M,"1,507.00",45.43,Clase social,32,"34,130.00",97%,360
Construcción de vivienda,M,"2,387.00",52.33,Clase social,32,"32,593.00",97%,300
Construcción de vivienda,F,979.00,45.24,Clase social,32,"30,593.00",92%,360
Construcción de vivienda,M,"1,358.00",43.37,Clase social,32,"32,333.00",97%,360
Compra de vivienda,F,"1,173.00",40.51,Clase media,32,"148,148.00",80%,360
Compra de vivienda,F,"3,004.00",53.51,Clase media,32,"128,741.00",100%,360
Construcción de vivienda,M,"2,309.00",30.33,Clase social,32,"31,278.00",93%,360
Construcción de vivienda,M,830.00,51.65,Clase social,32,"32,693.00",97%,360
Construcción de vivienda,F,"1,743.00",50.11,Clase social,32,"33,778.00",96%,360
Construcción de vivienda,F,"2,187.00",41.12,Clase social,32,"34,130.00",97%,360
Compra de vivienda,F,"5,090.00",50.21,Clase media,32,"130,108.00",100%,360
Compra de vivienda,F,"4,890.00",52.96,Clase media,32,"124,146.00",100%,360
Construcción de vivienda,F,"1,248.00",40.98,Clase social,32,"25,926.00",85%,240
Construcción de vivienda,M,"1,588.00",42.46,Clase social,32,"25,926.00",85%,240
Construcción de vivienda,M,"1,076.00",43.68,Clase social,32,"25,926.00",85%,360
Construcción de vivienda,F,837.00,29.16,Clase social,32,"25,926.00",85%,360
Construcción de vivienda,M,"2,041.00",53.38,Clase social,32,"25,926.00",85%,240
Construcción de vivienda,M,"1,772.00",45.15,Clase media,32,"39,000.00",90%,360
Construcción de vivienda,F,894.00,41.02,Clase social,32,"30,019.00",97%,360
Construcción de vivienda,F,"2,169.00",55.06,Clase media,32,"25,030.00",14%,240
Construcción de vivienda,F,"1,160.00",53.31,Clase social,32,"32,017.00",97%,360
Construcción de vivienda,F,"1,277.00",51.36,Clase social,32,"48,148.00",100%,360
Construcción de vivienda,M,791.00,40.05,Clase social,32,"32,080.00",96%,360
Construcción de vivienda,F,"1,088.00",24.93,Clase social,32,"48,148.00",100%,360
Compra de vivienda,F,"1,130.00",48.75,Clase media,32,"64,815.00",53%,360
Construcción de vivienda,F,"2,316.00",38.79,Clase media,32,"74,074.00",89%,366
Construcción de vivienda,F,"1,982.00",46.21,Clase media,32,"77,778.00",84%,366
Construcción de vivienda,F,815.00,31.22,Clase media,32,"37,037.00",88%,360
Construcción de vivienda,F,930.00,40.52,Clase social,32,"48,148.00",65%,360
Construcción de vivienda,F,941.00,32.72,Clase social,32,"48,148.00",93%,360
Construcción de vivienda,M,963.00,43.11,Clase social,32,"48,148.00",90%,360
Compra de vivienda,M,981.00,47.85,Clase social,32,"48,148.00",64%,360
Compra de vivienda,F,"2,918.00",35.20,Clase media,32,"133,333.00",46%,360
Compra de vivienda,F,"1,426.00",39.90,Clase media,32,"62,963.00",73%,360
Compra de vivienda,F,"1,669.00",51.26,Clase media,32,"78,329.00",60%,360
Compra de vivienda,F,992.00,43.34,Clase social,32,"48,148.00",48%,360
Compra de vivienda,F,"2,556.00",35.20,Clase media,32,"101,000.00",87%,360
Compra de vivienda,M,"2,531.00",34.44,Clase media,32,"88,992.00",98%,240
Construcción de vivienda,F,"1,359.00",50.97,Clase media,33,"78,635.00",88%,300
Construcción de vivienda,M,"1,562.00",47.86,Clase media,33,"66,670.00",100%,360
Compra de vivienda,M,"2,280.00",49.21,Clase media,33,"50,963.00",33%,401
Construcción de vivienda,M,"1,181.00",36.61,Clase social,33,"32,693.00",97%,360
Construcción de vivienda,F,"1,815.00",32.32,Clase media,33,"38,532.00",90%,360
Construcción de vivienda,F,"2,055.00",50.85,Clase media,33,"60,000.00",86%,360
Compra de vivienda,M,"1,706.00",38.08,Clase media,33,"90,000.00",78%,360
Construcción de vivienda,F,822.00,41.55,Clase social,33,"48,148.00",100%,360
Construcción de vivienda,M,870.00,33.39,Clase social,33,"48,148.00",100%,360
Construcción de vivienda,M,"2,239.00",41.55,Clase media,33,"80,926.00",100%,360
Construcción de vivienda,F,"1,285.00",27.92,Clase social,33,"48,148.00",100%,360
Compra de vivienda,M,"1,720.00",40.80,Clase media,33,"28,333.00",57%,360
Construcción de vivienda,F,"1,738.00",55.26,Clase social,33,"30,752.00",95%,360
Construcción de vivienda,M,"1,598.00",48.06,Clase social,33,"32,693.00",94%,360
Compra de vivienda,F,856.00,53.44,Clase media,33,"45,000.00",90%,360
Construcción de vivienda,M,"1,995.00",33.30,Clase social,33,"32,333.00",97%,360
Construcción de vivienda,F,"1,595.00",51.35,Clase social,33,"34,130.00",97%,360
